pubkey,ip,capacity,partner number,channel number
02a4452b0854f164196b924eb36fbb764a35ba2aa32bb7d7885376581be3b971d4,35.227.23.207:9735,0.01420000,25,25
02fb166480f1929c4f2d20ac40017c13ad5dffe36f915315f50b64a0a797078e65,35.227.86.243:9735,0.00722000,24,24
03321fab5e3db6c378e23e9cceb522325dc4f6b0c68819944569128d34cba9cca3,104.62.47.181:9735,0.04786549,24,24
03a5c54bbdff536184835273dddcf84c0b95b2b664acc1e096e4dfeb176b6782a9,35.196.74.1:9735,0.01498443,24,24
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,195.14.201.75:9735,0.05519743,24,25
03a3c1fc0a489e2872a2afe8fa16c2714b5fe80d52d8c1ce8ecc4361a77391da82,None,0.19274049,24,24
03dbd26bedb44490bfbf19c876f41c4561e3c650517a6c6ba77cb5e581b0b886b8,38.104.225.30:9735,0.01248171,24,24
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,52.15.79.245:9735,0.71095424,23,27
02cd5505d531a86b3152050abfe656b9fd947682eaaca3d6e6e2bd7d4d8322c3db,176.97.247.9:9735,0.29405320,23,23
037b80d06df0e9d764b1e2626bc5c6a6e79b6da32f28e65815b1d91436d6dd9792,35.227.57.221:9735,0.00294322,23,23
035a64d331d1f96e1e5defbe9fb718612a0c44d06c5cea8ebf09645e6d99c45d24,104.196.218.119:9735,0.00592321,23,23
03341b688f09301a8c0f7528b587bd59db9f8e3f9aec46da19061911d8debf11a2,172.17.0.2:9735,0.01251000,23,23
034660651be3b640eea0f89a2ba1d1419a7ef95a852edc10c24d3aaac642791392,104.196.155.165:9735,0.00695645,23,23
0312729bfe8c02a1189a94bf609be3f44e7e30f581ada3429925221915d5d6cfb3,72.75.205.209:9735,0.22940472,23,25
026844fe6d8c9dc51a291f67cf50d6236d4ea92abd665cbbbffce4cc9e49edd481,88.178.209.212:19735,0.06579716,23,23
032c4b954f0f171b694b5e8e8323589e54196b48cf2efc27692513a360cb11d76f,37.187.141.73:9735,0.29817667,23,23
032e000d7927b0d78f7ce4285b7c8e4db97300fb55f2833173d7c28289abbed5bf,35.196.255.178:9735,0.00795699,23,23
035573afee362d8e17253295511ad319b597aeb0dfe73453001cfae447848d5668,35.229.76.253:9735,0.00659999,22,22
02df6d3454bc4c0cdd9b6e5f04451f53c48d22300d3066cf4a8fb49effd025c0af,46.229.238.187:9735,0.07739421,22,22
027c2986cd45217cd8c996555f4f0925fc01b3030cebfa6d59e90e230bb00b3a8b,197.155.6.117:9735,0.00000000,22,26
034d11119748816bac2e5f2b4f3127e05d783e39b6e9b65b8db9920ec553506301,104.196.177.28:9735,0.00339222,22,22
03b439ff61f39f557fdea45129230f4f0c22b6625fcbbdba0dee52cfc56eed5e4a,35.196.34.247:9735,0.00049642,22,22
